c_SigleDuCours,c_TitreDuCours,c_TypeDuCours,c_NombreDeCrédits
"ADM 6508","Management et transfert des connaissances","Cours sans examen",3
"ADM 6525","Enjeux contemporains dans la gestion de carrières","Cours sans examen",3
"ADM 6205","Gestion de projets et créativité","Cours sans examen",3
"ADM 6216","Leadership et travail d'équipe","Cours sans examen",3
"ADM 6510","Gestion des ressources humaines en contexte de projet","Cours sans examen",3
"ADM 6512","Sens du travail","Cours sans examen",3
"ADM 6520","La santé et la sécurité au travail face à la diversification des réalités organiisationnelles","Cours sans examen",3
"ADM 6514","Projet personnel","Cours sans examen",3
"ADM 6515","Activité de synthèse","Cours sans examen",3
"ADM 6010","Marketing en affaires électroniques","Cours sans examen",3
"ADM 6020","Stratégies en affaires électroniques","Cours avec examen",3
"ADM 6030","Gestion des risques en affaires électroniques","Cours sans examen",3
"ADM 6040","Gestion stratégique des technologies de l'information","Cours avec examen",3
"ADM 6052","Transformation numérique organisationnelle","Cours sans examen",3
"ADM 6040","Gestion stratégique des technologies de l'information","Cours avec examen",3
"ADM 6042","Les systèmes de l'information et la gestion organisationnelle","Cours avec examen",3
"ADM 6044","Gestion de projet en technologie de l'information","Cours avec examen",3
"ADM 6046","Gestion de la sécurité des technologies de l'information","Cours avec examen",3
"ADM 6010","Marketing en affaires électroniques","Cours sans examen",3
"ADM 6020","Stratégies en affaires électroniques","Cours avec examen",3
"ADM 6030","Gestion des risques en affaires électroniques","Cours sans examen",3
"ADM 6048","Impartition des technologies de l'information","Cours avec examen",3
"ADM 6050","Analytique d'affaires","Cours avec examen",3
"ADM 6052","Transformation numérique organisationnelle","Cours sans examen",3
"ADM 6020","Stratégies en affaires électroniques","Cours avec examen",3
"ADM 6030","Gestion des risques en affaires électroniques","Cours sans examen",3
"ADM 6040","Gestion stratégique des technologies de l'information","Cours avec examen",3
"ADM 6042","Les systèmes de l'information et la gestion organisationnelle","Cours avec examen",3
"ADM 6044","Gestion de projet en technologie de l'information","Cours avec examen",3
"ADM 6046","Gestion de la sécurité des technologies de l'information","Cours avec examen",3
"ADM 6052","Transformation numérique organisationnelle","Cours sans examen",3
"ADM 6028R","Lectures dirigées","Cours sans examen",3
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3
"ADM 6010","Marketing en affaires électroniques","Cours sans examen",3
"ADM 6048","Impartition des technologies de l'information","Cours avec examen",3
"ADM 6050","Analytique d'affaires","Cours avec examen",3
"INF 6107","Web social","Cours sans examen",3
"ADM 6010","Marketing en affaires électroniques","Cours sans examen",3
"ADM 6020","Stratégies en affaires électroniques","Cours avec examen",3
"ADM 6030","Gestion des risques en affaires électroniques","Cours sans examen",3
"ADM 6040","Gestion stratégique des technologies de l'information","Cours avec examen",3
"ADM 6052","Transformation numérique organisationnelle","Cours sans examen",3
"ADM 6042","Les systèmes de l'information et la gestion organisationnelle","Cours avec examen",3
"ADM 6044","Gestion de projet en technologie de l'information","Cours avec examen",3
"ADM 6046","Gestion de la sécurité des technologies de l'information","Cours avec examen",3
"ADM 6048","Impartition des technologies de l'information","Cours avec examen",3
"ADM 6050","Analytique d'affaires","Cours avec examen",3
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",3
"INF 6104","Recherche d'informations et web","Cours avec examen",3
"INF 6408","Informatique de l'analyse multidimensionnelle","Cours avec examen",3
"INF 6409","Forage de données","Cours sans examen",3
"INF 6426","Vision par ordinateur et apprentissage profond","Information manquante",3
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3
"INF 6065","Sécurité des réeaux et des systèmes informatiques","Cours sans examen",3
"INF 6070","Technologies sémantiques pour la gestion des connaissances","Cours sans examen",3
"INF 6107","Web social","Cours sans examen",3
"TED 6520","Environnements d'apprentissage intelligents","Cours sans examen",3
"MTI 6405","Projet individuel","Cours sans examen",3
"ADM 6010","Marketing en affaires électroniques","Cours sans examen",3
"ADM 6020","Stratégies en affaires électroniques","Cours avec examen",3
"ADM 6030","Gestion des risques en affaires électroniques","Cours sans examen",3
"ADM 6040","Gestion stratégique des technologies de l'information","Cours avec examen",3
"ADM 6052","Transformation numérique organisationnelle","Cours sans examen",3
"ADM 6042","Les systèmes de l'information et la gestion organisationnelle","Cours avec examen",3
"ADM 6044","Gestion de projet en technologie de l'information","Cours avec examen",3
"ADM 6046","Gestion de la sécurité des technologies de l'information","Cours avec examen",3
"ADM 6048","Impartition des technologies de l'information","Cours avec examen",3
"ADM 6050","Analytique d'affaires","Cours avec examen",3
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",3
"INF 6104","Recherche d'informations et web","Cours avec examen",3
"INF 6408","Informatique de l'analyse multidimensionnelle","Cours avec examen",3
"INF 6409","Forage de données","Cours sans examen",3
"INF 6426","Vision par ordinateur et apprentissage profond","Information manquante",3
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3
"INF 6065","Sécurité des réeaux et des systèmes informatiques","Cours sans examen",3
"INF 6070","Technologies sémantiques pour la gestion des connaissances","Cours sans examen",3
"INF 6107","Web social","Cours sans examen",3
"TED 6520","Environnements d'apprentissage intelligents","Cours sans examen",3
"INF 1220","Introduction à la programmation","Cours avec examen",3
"INF 1250","Introduction aux bases de données","Cours avec examen",3
"INF 1410","Génie logiciel","Cours sans examen",3
"INF 1420","Interfaces humain-machine","Cours avec examen",3
"INF 6450","Gestion de l'information avec XML","Cours avec examen",3
"SCI 1016","Introduction à la science des données","Cours avec examen",3
"SCI 1018","Statistiques avec R","Cours avec examen",3
"INF 1421","Apprentissage machine","Cours avec examen",3
"INF 9004","Informatique des entrepôts de données","Cours avec examen",3
"INF 1220","Introduction à la programmation","Cours avec examen",3
"INF 1250","Introduction aux bases de données","Cours avec examen",3
"INF 1410","Génie logiciel","Cours sans examen",3
"INF 1425","Algorithmique et structures de données","Cours avec examen",3
"INF 4018","Projet d'intégration","Cours sans examen",3
"INF 6460","Recherche et filtrage d'informations","Cours avec examen",3
"INF 9004","Informatique des entrepôts de données","Cours avec examen",3
"SCI 1016","Introduction à la science des données","Cours avec examen",3
"SCI 1018","Statistiques avec R","Cours avec examen",3
"INF 1421","Apprentissage machine","Cours avec examen",3
"INF 1426","Traitement d'images","Cours avec examen",3
"INF 1420","Interfaces humain-machine","Cours avec examen",3
"INF 1424","Projet de développement logiciel en informatique appliquée","Information manquante",3
"INF 2005","Programmation orientée objet avec C++","Cours avec examen",3
"INF 6450","Gestion de l'information avec XML","Cours avec examen",3
"INF 1160","Les réseaux d'entreprise","Cours avec examen",3
"INF 1161","Réseaux et communication sans fil","Information manquante",3
"INF 1165","Réseaux et sécurité informatique","Cours avec examen",3
"INF 1427","Architecture des ordinateurs","Cours avec examen",3
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3
"INF 6400","Gestion de connaissances en informatique","Cours sans examen",3
"INF 1421","Apprentissage machine","Cours avec examen",3
"SCI 1016","Introduction à la science des données","Cours avec examen",3
"SCI 1017","Traitement de données massives","Cours sans examen",3
"SCI 1018","Statistiques avec R","Cours avec examen",3
"SCI 1402","Projet en science des données","Cours sans examen",3
"INF 1220","Introduction à la programmation","Cours avec examen",3
"INF 1250","Introduction aux bases de données","Cours avec examen",3
"INF 6460","Recherche et filtrage d'informations","Cours avec examen",3
"INF 9004","Informatique des entrepôts de données","Cours avec examen",3
"SCI 1031","Visualisation et analyse de données spatiales avec R","Cours avec examen",3
"SCI 1035","Apprentissage profond","Cours sans examen",3
"SCI 1037","Analyses structurelles","Information manquante.",3
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3
"INF 1220","Introduction à la programmation","Cours avec examen",3
"INF 1250","Introduction aux bases de données","Cours avec examen",3
"INF 1410","Génie logiciel","Cours sans examen",3
"INF 1425","Algorithmique et structures de données","Cours avec examen",3
"INF 1427","Architecture des ordinateurs","Cours avec examen",3
"INF 1430","Projet de fin d'études","Cours sans examen",3
"INF 1429","Systèmes d'exploitation","Cours avec examen",3
"INF 1420","Interfaces humain-machine","Cours avec examen",3
"INF 2005","Programmation orientée objet avec C++","Cours avec examen",3
"INF 2007","Programmation avancée","Information manquante",3
"INF 2009","Projet de programmation web","Information manquante",3
"INF 6400","Gestion de connaissances en informatique","Cours sans examen",3
"INF 6450","Gestion de l'information avec XML","Cours avec examen",3
"INF 1421","Apprentissage machine","Cours avec examen",3
"INF 1423","Vision numérique et applications","Cours avec examen",3
"INF 1426","Traitement d'images","Cours avec examen",3
"INF 1428","Théorie des langages et des automates","Information manquante",3
"INF 6460","Recherche et filtrage d'informations","Cours avec examen",3
"INF 9004","Informatique des entrepôts de données","Cours avec examen",3
"SCI 1016","Introduction à la science des données","Cours avec examen",3
"SCI 1017","Traitement de données massives","Cours sans examen",3
"SCI 1018","Statistiques avec R","Cours avec examen",3
"SCI 1031","Visualisation et analyse de données spatiales avec R","Cours avec examen",3
"INF 1160","Les réseaux d'entreprise","Cours avec examen",3
"INF 1161","Réseaux et communication sans fil","Information manquante",3
"INF 1165","Réseaux et sécurité informatique","Cours avec examen",3
"INF 1167","Internet des objets et systèmes diffus","Information manquante",3
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3
"MQT 2420","Récherche opérationnelle","Cours avec examen",3
"ADM 6050","Analytique d'affaires","Cours avec examen",3
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",3
"INF 6104","Recherche d'informations et web","Cours avec examen",3
"INF 6408","Informatique de l'analyse multidimensionnelle","Cours avec examen",3
"INF 6409","Forage de données","Cours sans examen",3
"INF 6426","Vision par ordinateur et apprentissage profond","Information manquante",3
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3
"INF 6065","Sécurité des réseaux et des systèmes informatiques","Cours sans examen",3
"INF 6070","Technologies sémantiques pour la gestion des connaissances","Cours sans examen",3
"INF 6107","Web social","Cours sans examen",3
"ADM 6010","Marketing en affaires électroniques","Cours sans examen",3
"ADM 6020","Stratégies en affaires électroniques","Cours avec examen",3
"ADM 6030","Gestion des risques en affaires électroniques","Cours sans examen",3
"ADM 6040","Gestion stratégique des technologies de l'information","Cours avec examen",3
"ADM 6052","Transformation numérique organisationnelle","Cours sans examen",3
"ADM 6042","Les systèmes de l'information et la gestion organisationnelle","Cours avec examen",3
"ADM 6044","Gestion de projet en technologie de l'information","Cours avec examen",3
"ADM 6046","Gestion de la sécurité des technologies de l'information","Cours avec examen",3
"ADM 6048","Impartition des technologies de l'information","Cours avec examen",3
"ADM 6050","Analytique d'affaires","Cours avec examen",3
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",3
"INF 6104","Recherche d'informations et web","Cours avec examen",3
"INF 6408","Informatique de l'analyse multidimensionnelle","Cours avec examen",3
"INF 6409","Forage de données","Cours sans examen",3
"INF 6426","Vision par ordinateur et apprentissage profond","Information manquante",3
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3
"INF 6065","Sécurité des réeaux et des systèmes informatiques","Cours sans examen",3
"INF 6070","Technologies sémantiques pour la gestion des connaissances","Cours sans examen",3
"INF 6107","Web social","Cours sans examen",3
"TED 6520","Environnements d'apprentissage intelligents","Cours sans examen",3
"MTI 6405","Projet individuel","Cours sans examen",3
"ADM 6010","Marketing en affaires électroniques","Cours sans examen",3
"ADM 6020","Stratégies en affaires électroniques","Cours avec examen",3
"ADM 6030","Gestion des risques en affaires électroniques","Cours sans examen",3
"ADM 6040","Gestion stratégique des technologies de l'information","Cours avec examen",3
"ADM 6052","Transformation numérique organisationnelle","Cours sans examen",3
"ADM 6042","Les systèmes de l'information et la gestion organisationnelle","Cours avec examen",3
"ADM 6044","Gestion de projet en technologie de l'information","Cours avec examen",3
"ADM 6046","Gestion de la sécurité des technologies de l'information","Cours avec examen",3
"ADM 6048","Impartition des technologies de l'information","Cours avec examen",3
"ADM 6050","Analytique d'affaires","Cours avec examen",3
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",3
"INF 6104","Recherche d'informations et web","Cours avec examen",3
"INF 6408","Informatique de l'analyse multidimensionnelle","Cours avec examen",3
"INF 6409","Forage de données","Cours sans examen",3
"INF 6426","Vision par ordinateur et apprentissage profond","Information manquante",3
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3
"INF 6065","Sécurité des réeaux et des systèmes informatiques","Cours sans examen",3
"INF 6070","Technologies sémantiques pour la gestion des connaissances","Cours sans examen",3
"INF 6107","Web social","Cours sans examen",3
"TED 6520","Environnements d'apprentissage intelligents","Cours sans examen",3
"ANG 4005","Effective Written Communication","Cours sans examen",3
"ANG 4020","Advanced Written and Oral Productions","Cours sans examen",3
"LIN 4002","Contemporary English Canadian Language and Culture","Cours sans examen",3
"LIN 4003","Overview of English Language Varieties and Cultures","Cours avec examen",3
"FRA 1002","Maîtrise du farnçais écrit","Cours avec examen",3
"FRA 3005","Rédaction fondamentale","Cours avec examen",3
"FRA 3006","Rédaction administrative","Cours sans examen",3
"FRA 3008","Écriture en communication","Cours sans examen",3
"LIN 2003","Nouvelles pratiques du français","Cours sans examen",3
"PHI 1010","L'organisation de la pensée","Cours avec examen",3
"PHI 2015","Pensée critique et argumentation","Cours sans examen",3
"TRA 4040","Traduction de l'espagnol au français: aspects culturels et linguistiques","Cours avec examen",3
"LIN 4033","Terminologie fondamentale","Cours avec examen",3
"TRA 4011","Iniciación a la traducción profesional: francés-español","Cours avec examen",3
"TRA 4035","Reducción de textos","Cours sans examen",3
"LIN 3004","Lexicologie et lexicographie de la languye française","Cours sans examen",3
"ESP 4010","Redacción especializada en español","Cours sans examen",3
"ANG 2001","General Communication","Cours sans examen",3
"ANG 3001","Listening and Speaking","Cours avec examen",3
"ANG 4005","Effective Written Communication","Cours sans examen",3
"LIN 4015","Second Language Learning and Bilingualism","Cours sans examen",3
"LIN 4120","Teaching English as a Secind Language using Communication Technologies","Cours sans examen",3
"LIN 4125","Teaching English as a Secind Language in Schools","Cours sans examen",3
"LIN 4128","Teaching English as a Secind Language to Adults","Cours sans examen",3
"LIN 4130","Reflexive Second Language Teaching","Cours sans examen",3
"ESP 2000","Curso de español para principiantes","Cours avec examen",3
"ESP 2001","La comunicación general en español","Cours avec examen",3
"ESP 3001","Español intermedio","Cours sans examen",3
"ESP 4001","La lectura y la redacción en español","Cours avec examen",3
"FRA 2100","Trajets interculturels en français 1","Cours sans examen",3
"FRA 2120","Compétences en frasnçais langue seconde 1","Cours sans examen",3
"FRA 2130","Trajets interculturels en français 2","Cours sans examen",3
"FRA 2140","Compétences en frasnçais langue seconde 2","Cours avec examen",3
"HIS 2002","Histoire culturelle du comique au Québec","Cours avec examen",3
"LIT 4001","Littérature de masse","Cours sans examen",3
"LIT 4003","Bandde dessinée et figuration narrative","Cours sans examen",3
"LIT 4004","Littérature pour enfants","Cours sans examen",3
"LIT 4005","Le roman d'amour","Cours sans examen",3
"LIT 4006","Conteurs et nouvelistes québécois :  de Fred Pellerin à Louis Fréchette ","Cours sans examen",3
"LIN 1001","Langue et société","Cours avec examen",3
"LIN 2001","Langue française: histoire générale et spécifique québécoise","Cours sans examen",3
"LIN 3001","Le langage et ses usages","Cours sans examen",3
"LIN 3004","Lexicologie et lexicographie de la languye française","Cours sans examen",3
"LIN 3010","Développement du langage","Cours avec examen",3
"ANG 4005","Effective Written Communication","Cours sans examen",3
"ANG 4020","Advanced Written and Oral Productions","Cours sans examen",3
"LIN 4002","Contemporary English Canadian Language and Culture","Cours sans examen",3
"LIN 4003","Overview of English Language Varieties and Cultures","Cours avec examen",3
"LIN 4015","Second Language Learning and Bilingualism","Cours sans examen",3
"ANG 4017","International Business English","Cours avec examen",3
"LIN 4001","Introduction to Linguisitics","Information manquante.",3
"LIN 4005","Language Making and Unmaking: From Issues to Planning","Information manquante.",3
"LIN 4008","Individual Reflective Project","Cours sans examen",3
"LIN 4125","Teaching English as a Secind Language in Schools","Cours sans examen",3
"LIN 4128","Teaching English as a Secind Language to Adults","Cours sans examen",3
"LIN 4130","Reflexive Second Language Teaching","Cours sans examen",3
"SIM 1001","Stage d'immersion linguistique et interculturelle de langue seconde, à distance","Cours sans examen",3
"ESP 3001","Español intermedio","Cours sans examen",3
"ESP 4001","La lectura y la redacción en español","Cours avec examen",3
"ESP 4010","Redacción especializada en español","Cours sans examen",3
"ESP 4035","Reducción de textos","Cours sans examen",3
"ESP 4012","Sociolingüística del mundo hispánico","Cours sans examen",3
"LIN 4016","Aprendizaje de una segunda lengua y bilingüismo","Cours sans examen",3
"TRA 4011","Iniciación a la traducción profesional: francés-español","Cours avec examen",3
"TRA 4040","Traduction de l'espagnol au français: aspects culturels et linguistiques","Cours avec examen",3
"COM 3030","La communication interculturelle: une introduction","Cours avec examen",3
"FRA 3005","Rédaction fondamentale","Cours avec examen",3
"FRA 3008","Écriture en communication","Cours sans examen",3
"FRA 3005","Rédaction fondamentale","Cours avec examen",3
"FRA 3008","Écriture en communication","Cours sans examen",3
"SCS 2013","Documentation et rédaction en sciences sociales","Cours sans examen",3
"FRA 3006","Rédaction administrative","Cours sans examen",3
"LIN 2003","Nouvelles pratiques du français","Cours sans examen",3
"LIN 3004","Lexicologie et lexicographie de la languye française","Cours sans examen",3
"PHI 2015","Pensée critique et argumentation","Cours sans examen",3
"ANG 4005","Effective Written Communication","Cours sans examen",3
"ANG 4020","Advanced Written and Oral Productions","Cours sans examen",3
"ESP 4001","La lectura y la redacción en español","Cours avec examen",3
"ESP 4010","Redacción especializada en español","Cours sans examen",3
"LIN 4003","Overview of English Language Varieties and Cultures","Cours avec examen",3
"TRA 4011","Iniciación a la traducción profesional: francés-español","Cours avec examen",3
"TRA 4035","Reducción de textos","Cours sans examen",3
"COM 5000","Communication organisationnelle","Cours avec examen",3
"RPL 2003","Introduction aux relations publiques","Cours avec examen",3
"RPL 2004","Le plan de communication","Cours avec examen",3
"COM 2001","La nouvelle communication","Cours sans examen",3
"LIT 4003","Bandde dessinée et figuration narrative","Cours sans examen",3
"COM 3000","Droits et enjeux de la communication","Cours avec examen",3
"COM 3023","Déontologie et éthique de la production de l'information","Cours sans examen",3
"FRA 3005","Rédaction fondamentale","Cours avec examen",3
"LIT 4000","Lectures et analyses littéraires: Histoire de la littérature des femmes","Information manquante",3
"LIT 4101","Création littéraire 1: Pastiches et exercices de style","Cours sans examen",3
"LIT 4102","Création littéraire 2: l'essai","Cours sans examen",3
"PHI 2015","Pensée critique et argumentation","Cours sans examen",3
"HIS 2002","Histoire culturelle du comique au Québec","Cours avec examen",3
"LIT 4001","Littérature de masse","Cours sans examen",3
"LIT 4003","Bandde dessinée et figuration narrative","Cours sans examen",3
"LIT 4004","Littérature pour enfants","Cours sans examen",3
"LIT 4005","Le roman d'amour","Cours sans examen",3
"LIT 4006","Conteurs et nouvelistes québécois :  de Fred Pellerin à Louis Fréchette ","Cours sans examen",3
"ANG 4005","Effective Written Communication","Cours sans examen",3
"ESP 4010","Redacción especializada en español","Cours sans examen",3
"FRA 3006","Rédaction administrative","Cours sans examen",3
"FRA 3007","Rédaction scientifique et technique","Cours sans examen",3
"FRA 3008","Écriture en communication","Cours sans examen",3
"LIN 2003","Nouvelles pratiques du français","Cours sans examen",3
"LIN 3004","Lexicologie et lexicographie de la languye française","Cours sans examen",3
"SCS 2013","Documentation et rédaction en sciences sociales","Cours sans examen",3
"TRA 4010","La traduction vers le français : une introduction","Cours sans examen",3
"TRA 4030","Outils, ressources et environnements d'aide à la traduction","Cours sans examen",3
"COM 2000","Histoire des communications","Cours avec examen",3
"COM 3000","Droits et enjeux de la communication","Cours avec examen",3
"HIS 1060","Introduction à l'histoire du Québec","Cours avec examen",3
"LIN 1001","Langue et société","Cours avec examen",3
"LIN 2001","Langue française: histoire générale et spécifique québécoise","Cours sans examen",3
"PHI 2011","Épistémologie des sciences et des techniques","Cours avec examen",3
"POL 3000","Québec : état et société","Cours avec examen",3
"SCI 1021","Sciences, techniques et civilisations: de l'Antiquité à la Rennaissance","Cours sans examen",3
"SHS 2100","Société et sociétés","Cours avec examen",3
"LIN 1001","Langue et société","Cours avec examen",3
"LIN 2001","Langue française: histoire générale et spécifique québécoise","Cours sans examen",3
"LIN 3001","Le langage et ses usages","Cours sans examen",3
"LIN 3004","Lexicologie et lexicographie de la languye française","Cours sans examen",3
"LIN 3010","Développement du langage","Cours avec examen",3
"LIT 4001","Littérature de masse","Cours sans examen",3
"LIT 4004","Littérature pour enfants","Cours sans examen",3
"LIT 4005","Le roman d'amour","Cours sans examen",3
"LIT 4006","Conteurs et nouvelistes québécois :  de Fred Pellerin à Louis Fréchette ","Cours sans examen",3
"LIT 4007","Roman et mondialisation","Cours sans examen",3
"LIT 4101","Création littéraire 1: Pastiches et exercices de style","Cours sans examen",3
"ESP 3001","Español intermedio","Cours sans examen",3
"ESP 4001","La lectura y la redacción en español","Cours avec examen",3
"ESP 4012","Sociolingüística del mundo hispánico","Cours sans examen",3
"LIN 4016","Aprendizaje de una segunda lengua y bilingüismo","Cours sans examen",3
"ANG 3001","Listening and Speaking","Cours avec examen",3
"ANG 4005","Effective Written Communication","Cours sans examen",3
"ANG 4017","International Business English","Cours avec examen",3
"ANG 4020","Advanced Written and Oral Productions","Cours sans examen",3
"LIN 4015","Second Language Learning and Bilingualism","Cours sans examen",3
"LIN 4120","Teaching English as a Secind Language using Communication Technologies","Cours sans examen",3
"LIN 4125","Teaching English as a Secind Language in Schools","Cours sans examen",3
"LIN 4128","Teaching English as a Secind Language to Adults","Cours sans examen",3
"LIN 4130","Reflexive Second Language Teaching","Cours sans examen",3
"ESP 4010","Redacción especializada en español","Cours sans examen",3
"LIN 4033","Terminologie fondamentale","Cours avec examen",3
"TRA 4011","Iniciación a la traducción profesional: francés-español","Cours avec examen",3
"TRA 4035","Reducción de textos","Cours sans examen",3
"TRA 4040","Traduction de l'espagnol au français: aspects culturels et linguistiques","Cours avec examen",3
"FRA 3005","Rédaction fondamentale","Cours avec examen",3
"FRA 3006","Rédaction administrative","Cours sans examen",3
"FRA 3008","Écriture en communication","Cours sans examen",3
"LIN 2003","Nouvelles pratiques du français","Cours sans examen",3
"PHI 2015","Pensée critique et argumentation","Cours sans examen",3
"PHI 1010","L'organisation de la pensée","Cours avec examen",3
"PHI 2015","Pensée critique et argumentation","Cours sans examen",3
"ADM 1400","Théories de l'organisation","Cours sans examen",3
"COM 2000","Histoire des communications","Cours avec examen",3
"ENV 1101","Introduction à la gestion des ressources naturelles","Cours avec examen",3
"FRA 3008","Écriture en communication","Cours sans examen",3
"PHI 2011","Épistémologie des sciences et des techniques","Cours avec examen",3
"PHI 2015","Pensée critique et argumentation","Cours sans examen",3
"PSY 3010","Psychologie du travail et des organisations","Cours avec examen",3
"SHS 2100","Société et sociétés","Cours avec examen",3
"SOC 1012","Méthodologie de la recherche sociale 1","Cours sans examen",3
"SOC 1014","Méthodologie de la recherche sociale 2","Cours avec examen",3
"ACA 6400","Partage de sens et dialogue - UQAR","Information manquante",3
"ACA 6300","Histoire de vie et construction de sens","Cours sans examen",3
"ACA 6500","Trajectoires personnelles et sociales - UQAR","Information manquante",3
"ACA 6620","Sens et projet : définition et anticipation","Cours sans examen",3
"ACA 6640","Sens et projet : planification et mise en œuvre","Cours sans examen",3
"SCI 1013","Introduction aux méthodes de recherche scientifique","Cours sans examen",3
"SCI 1018","Statistiques avec R","Cours avec examen",3
"SCI 1031","Visualisation et analyse de données spatiales avec R","Cours avec examen",3
"SCI 1230","Travail scientifique et technologies de l'information","Cours sans examen",3
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3
"HIS 1075","Histoire des sciences au Québec","Cours avec examen",3
"SCI 1021","Sciences, techniques et civilisations: de l'Antiquité à la Rennaissance","Cours sans examen",3
"ENV 1101","Introduction à la gestion des ressources naturelles","Cours avec examen",3
"ENV 2010","Gestion des ressources: faune et habitat","Cours avec examen",3
"ENV 3111","Gestion environnementale des ressources forestières","Cours avec examen",3
"ENV 3114","Agroforesterie et développement durable","Cours avec examen",3
"GEO 1001","Introduction à la géographie physique","Cours avec examen",3
"ENV 3013",Écotoxicologie,"Cours avec examen",3
"ENV 3017","Santé et environnement","Cours sans examen",3
"ENV 4014","Technologies d'assainissement et prévention de la pollution","Cours avec examen",3
"ENV 1110","Changements climatiques","Cours sans examen",3
"ENV 3026","Économie et gestion du développement durable","Cours sans examen",3
"ENV 4016","Améganement du territoire et environnement","Cours avec examen",3
"INF 1250","Introduction aux bases de données","Cours avec examen",3
"INF 1425","Algorithmique et structures de données","Cours avec examen",3
"SCI 1016","Introduction à la science des données","Cours avec examen",3
"INF 1220","Introduction à la programmation","Cours avec examen",3
"INF 2005","Programmation orientée objet avec C++","Cours avec examen",3
"INF 1165","Réseaux et sécurité informatique","Cours avec examen",3
"INF 6400","Gestion de connaissances et informatique","Cours avec examen",3
"INF 6450","Gestion de l'information avec XML","Cours avec examen",3
"COM 3030","La communication interculturelle: une introduction","Cours avec examen",3
"POL 1010","Introductioon aux relations internationales","Cours sans examen",3
"ECO 2015","Économie internationale","Cours avec examen",3
"ENV 4012","Environnement international","Cours sans examen",3
"INT 1010","Introduction au développement international","Cours avec examen",3
"INT 2020","Théories internationales et mondialisation","Cours avec examen",3
"POL 4000","Politique étrangère des États-Unis","Cours avec examen",3
"ANG 4017","International Business English","Cours avec examen",3
"ANG 4020","Advanced Written and Oral Productions","Cours sans examen",3
"ESP 4010","Redacción especializada en español","Cours sans examen",3
"ESP 4012","Sociolingüística del mundo hispánico","Cours sans examen",3
"TRA 4040","Traduction de l'espagnol au français: aspects culturels et linguistiques","Cours avec examen",3
"PSY 1015","Intrduction à la psichométrie","Cours avec examen",3
"PSY 1110","Intrduction à l'histoire de la psychologie","Cours avec examen",3
"PSY 1200","Développement de l'enfant","Cours avec examen",3
"PSY 1300","Introduction à la psychologie de la personnalité","Cours sans examen",3
"PSY 1323","Motivation et émotions","Cours sans examen",3
"PSY 1400","Introductionà la psychologie de la santé","Cours sans examen",3
"PSY 1405","Psychologie et promotion de la santé","Cours sans examen",3
"PSY 3005","Psychologie sociale","Cours avec examen",3
"PSY 4001","Introductionà la psychologie cognitive","Cours sans examen",3
"STA 1001","Méthodes quantitatives en sciences humaines","Cours avec examen",3
"ECO 2011","Économie du Québec","Cours avec examen",3
"GEO 2005","Géographie du Québec","Cours sans examen",3
"HIS 1060","Introduction à l'histoire du Québec","Cours avec examen",3
"HIS 2002","Histoire culturelle du comique au Québec","Cours avec examen",3
"LIN 2001","Langue française: histoire générale et spécifique québécoise","Cours sans examen",3
"LIT 4006","Conteurs et nouvelistes québécois :  de Fred Pellerin à Louis Fréchette ","Cours sans examen",3
"POL 3000","Québec : état et société","Cours avec examen",3
"GEO 2001","Introduction à la géographie humaine","Cours sans examen",3
"GEO 2005","Géographie du Québec","Cours sans examen",3
"GEO 2002","Introduction à la géographie du tourisme","Cours sans examen",3
"GEO 2003","Introduction à la géographie urbaine","Cours sans examen",3
"GEO 2004","Espaces francophones minoritaires du Canada","Cours sans examen",3
"GEO 2006","Espace social","Cours sans examen",3
"GEO 2007","États, territoires et sociétés","Cours sans examen",3
"PSY 1200","Développement de l'enfant","Cours avec examen",3
"PSY 1210","Psychologie d l'adolescence","Cours avec examen",3
"PSY 1220","Psychologie de la vie adulte","Cours sans examen",3
"SHS 2502","Récit et projet de formation","Cours sans examen",3
"PSY 1323","Motivation et émotions","Cours sans examen",3
"PSY 3005","Psychologie sociale","Cours avec examen",3
